min-dop,var-dop,min-n.valid-sat,min-ps,min-snr,var-valid-sat,var-snr,var-ps,max-n.valid-sat-changed,av-valid-sat,av-ps,av-dop,max-snr,max-cp,max-n.valid-sat,snr-av,min-hight,maxAmplitude,class
409.27,1.80339e+07,4,0,99363.7,4,4,44.2312,0,409.27,158.847,4,1.80339e+07,44.2312,44.2312,0,0,0,0,spoofed
409.27,1.89147e+07,4,1,-176690,4,4,44.2312,0,409.27,158.847,4,1.89147e+07,44.2312,44.2312,0,0,0,0,spoofed
409.27,1.98454e+07,4,2,119064,4,4,44.2312,0,409.27,158.847,4,1.98454e+07,44.2312,44.2312,0,0,0,0,spoofed
409.27,2.06119e+07,4,3,-424200,4,4,44.2312,0,409.27,158.847,4,2.06119e+07,44.2312,44.2312,0,0,0,0,spoofed
461.244,1.80339e+07,4,0,100757,4,4,44.2312,0,409.27,11.6232,4,1.80339e+07,43.8284,44.0298,73.5025,31.4872,0.284776,0,spoofed
461.244,1.89147e+07,4,1,-176690,4,4,44.2312,0,409.27,11.6232,4,1.89146e+07,43.8284,44.0298,73.5025,48.0647,0.284776,0,spoofed
461.244,1.98454e+07,4,2,120732,4,4,44.2312,0,409.27,11.6232,4,1.98454e+07,43.8284,44.0298,73.5025,34.9366,0.284776,0,spoofed
461.244,2.06118e+07,4,3,-424200,4,4,44.2312,0,409.27,11.6232,4,2.06117e+07,43.8284,44.0298,73.5025,127.97,0.284776,0,spoofed
487.827,1.80339e+07,4,0,102152,4,4,44.2312,0,409.27,-20.9665,4,1.80339e+07,43.2959,43.7852,98.1967,63.1513,0.663433,0,spoofed
487.827,1.89146e+07,4,1,-176690,4,4,44.2312,0,409.27,-20.9665,4,1.89145e+07,43.2959,43.7852,98.1967,100.085,0.663433,0,spoofed
487.827,1.98454e+07,4,2,122401,4,4,44.2312,0,409.27,-20.9665,4,1.98454e+07,43.2959,43.7852,98.1967,71.5221,0.663433,0,spoofed
487.827,2.06117e+07,4,3,-424200,4,4,44.2312,0,409.27,-20.9665,4,2.06116e+07,43.2959,43.7852,98.1967,252.399,0.663433,0,spoofed
502.353,1.80339e+07,4,0,103548,4,4,44.2457,0,409.27,-20.9665,4,1.80339e+07,43.2959,43.9003,110.338,95.187,0.774079,0,spoofed
502.353,1.89146e+07,4,1,-176690,4,4,44.2457,0,409.27,-20.9665,4,1.89145e+07,43.2959,43.9003,110.338,158.168,0.774079,0,spoofed
502.353,1.98455e+07,4,2,124072,4,4,44.2457,0,409.27,-20.9665,4,1.98454e+07,43.2959,43.9003,110.338,112.993,0.774079,0,spoofed
