min-dop,var-dop,min-n.valid-sat,min-ps,min-snr,var-valid-sat,var-snr,var-ps,max-n.valid-sat-changed,av-valid-sat,av-ps,av-dop,max-snr,max-cp,max-n.valid-sat,snr-av,min-hight,maxAmplitude,class
-168.921,1.78712e+07,4,0,105934,4,4,45.4518,0,-168.921,130.873,4,1.78712e+07,45.4518,45.4518,0,0,0,0,spoofed
-168.921,1.8752e+07,4,1,-189302,4,4,45.4518,0,-168.921,130.873,4,1.8752e+07,45.4518,45.4518,0,0,0,0,spoofed
-168.921,1.84936e+07,4,5,-450246,4,4,45.4518,0,-168.921,130.873,4,1.84936e+07,45.4518,45.4518,0,0,0,0,spoofed
-168.921,1.98681e+07,4,6,685325,4,4,45.4518,0,-168.921,130.873,4,1.98681e+07,45.4518,45.4518,0,0,0,0,spoofed
-186.836,1.78713e+07,4,0,107326,4,4,45.4518,0,-204.752,89.6964,4,1.78712e+07,44.7473,45.0996,25.3365,30.0215,0.498179,0,spoofed
-186.836,1.8752e+07,4,1,-189302,4,4,45.4518,0,-204.752,89.6964,4,1.8752e+07,44.7473,45.0996,25.3365,48.6712,0.498179,0,spoofed
-186.836,1.84935e+07,4,5,-450246,4,4,45.4518,0,-204.752,89.6964,4,1.84934e+07,44.7473,45.0996,25.3365,118.507,0.498179,0,spoofed
-186.836,1.98682e+07,4,6,694137,4,4,45.4518,0,-204.752,89.6964,4,1.98681e+07,44.7473,45.0996,25.3365,187.521,0.498179,0,spoofed
-197.955,1.78713e+07,4,0,108720,4,4,45.5001,0,-220.193,-17.2017,4,1.78712e+07,44.7473,45.2331,37.1981,59.9672,0.595936,0,spoofed
-197.955,1.8752e+07,4,1,-189302,4,4,45.5001,0,-220.193,-17.2017,4,1.87519e+07,44.7473,45.2331,37.1981,102.13,0.595936,0,spoofed
-197.955,1.84934e+07,4,5,-450246,4,4,45.5001,0,-220.193,-17.2017,4,1.84932e+07,44.7473,45.2331,37.1981,245.131,0.595936,0,spoofed
-197.955,1.98683e+07,4,6,702950,4,4,45.5001,0,-220.193,-17.2017,4,1.98681e+07,44.7473,45.2331,37.1981,374.586,0.595936,0,spoofed
-203.415,1.78713e+07,4,0,110114,4,4,45.5001,0,-220.193,-17.2017,4,1.78712e+07,44.2485,44.9869,41.7308,95.0324,1.04028,0,spoofed
-203.415,1.87519e+07,4,1,-189302,4,4,45.5001,0,-220.193,-17.2017,4,1.87518e+07,44.2485,44.9869,41.7308,160.833,1.04028,0,spoofed
